centrality xT U_xT err
8 1.59867696 0.20203966 0.01927022
8 1.70893054 0.1738149 0.01662509
8 1.81918412 0.15221442 0.01472543
8 1.92943771 0.13403576 0.012801
8 2.03969129 0.11603341 0.01122154
8 2.14994487 0.103347 0.00997058
8 2.31532525 0.08365902 0.00803637
8 2.53583241 0.06598841 0.00633402
8 2.75633958 0.05024095 0.00494412
8 2.97684675 0.03987732 0.00393021
8 3.19735391 0.03136916 0.00309985
8 3.41786108 0.02456722 0.00243462
8 3.63836825 0.01967482 0.00195824
8 3.85887541 0.01540402 0.00153995
8 4.07938258 0.01270555 0.00127846
8 4.29988975 0.0103127 0.00104654
8 4.52039691 0.00821896 0.00084067
8 4.74090408 0.00681614 0.00070434
8 4.96141125 0.00551627 0.00057528
8 5.18191841 0.00453217 0.00047883
8 5.40242558 0.00378699 0.00040876
8 5.62293275 0.00316637 0.0003474
8 5.84343991 0.00266166 0.000299
8 6.06394708 0.00216326 0.00024535
8 6.28445424 0.00188042 0.00021662
8 6.50496141 0.00169595 0.00020187
9 0.25200458 0.82529718 0.10718312
9 0.2978236 0.87055025 0.10885331
9 0.34364261 0.87296042 0.10896919
9 0.38946163 0.88727601 0.11063096
9 0.43528064 0.87046714 0.10855927
9 0.51546392 0.83526511 0.09885903
9 0.63001145 0.7361052 0.08726088
9 0.74455899 0.64453941 0.07662749
9 0.85910653 0.55452154 0.06551955
9 0.97365407 0.47348467 0.05584269
9 1.0882016 0.40325722 0.04758613
9 1.20274914 0.33924221 0.03910871
9 1.31729668 0.29043101 0.03363691
9 1.43184422 0.25225003 0.0293609
9 1.54639175 0.21692022 0.02529165
9 1.66093929 0.18546279 0.02158075
9 1.77548683 0.16265082 0.01901205
9 1.89003436 0.13839898 0.01613412
9 2.0045819 0.11720764 0.01392466
9 2.11912944 0.10591618 0.01253356
9 2.23367698 0.09014773 0.01071326
9 2.40549828 0.07461147 0.00874426
9 2.63459336 0.05760832 0.00685473
9 2.86368843 0.04413889 0.00522885
9 3.09278351 0.03415578 0.00405173
9 3.32187858 0.0262739 0.00312245
9 3.55097365 0.02066266 0.00246204
9 3.78006873 0.01654137 0.00197811
9 4.0091638 0.01276249 0.00153181
9 4.23825888 0.01059738 0.00127809
9 4.46735395 0.00843945 0.00102513
9 4.69644903 0.00689121 0.00084261
9 4.9255441 0.00570006 0.00070344
9 5.15463918 0.00462348 0.00057549
9 5.38373425 0.00380458 0.00047871
9 5.61282932 0.00323498 0.00041475
9 5.8419244 0.00283137 0.00036799
9 6.07101947 0.00237529 0.00031488
9 6.30011455 0.00184041 0.00024782
9 6.52920962 0.00156566 0.00021404
9 6.7583047 0.00137235 0.00019354
